iter	Logloss
0	0.6884417725
1	0.6837285505
2	0.6795441546
3	0.6748655483
4	0.6705047171
5	0.6662947301
6	0.6615979876
7	0.6571504429
8	0.6535205078
9	0.6493645368
10	0.6457265363
11	0.6417856271
12	0.6379136876
13	0.6341454206
14	0.6312024798
15	0.6274121966
16	0.6241918945
17	0.620910383
18	0.6174181257
19	0.6146266828
20	0.6116390555
21	0.6086414446
22	0.6059951346
23	0.6027104841
24	0.6002430943
25	0.5969131034
26	0.5942197963
27	0.5908960397
28	0.5884659685
29	0.5854588972
30	0.5828545271
31	0.5798118373
32	0.5770288086
33	0.5736485509
34	0.5717721994
35	0.5685746983
36	0.5656411743
37	0.562551008
38	0.560611921
39	0.5581873431
40	0.5559253802
41	0.553706665
42	0.551411656
43	0.5490454973
44	0.5469020299
45	0.5447186279
46	0.5423042515
47	0.5400374058
48	0.5379949951
49	0.5357956369
50	0.5334183611
51	0.5311636789
52	0.5294806344
53	0.5271433803
54	0.5254149083
55	0.5230480085
56	0.5213048444
57	0.5193974086
58	0.5175763811
59	0.5158333915
60	0.514002424
61	0.5121547154
62	0.5104162598
63	0.5087582833
64	0.5069138445
65	0.5055811419
66	0.5040524728
67	0.5023749651
68	0.5006097412
69	0.4990824672
70	0.4977402605
71	0.4962514823
72	0.4946042306
73	0.493125436
74	0.4918331909
75	0.4905444336
76	0.4894243949
77	0.4879694475
78	0.4866330392
79	0.485133449
80	0.4836479841
81	0.4825265939
82	0.4813115583
83	0.4800113787
84	0.478896746
85	0.4777698626
86	0.4763323539
87	0.4752054269
88	0.4742629569
89	0.4732105364
90	0.4720189122
91	0.4706733922
92	0.4696435111
93	0.4685526821
94	0.4677993774
95	0.4665267072
96	0.4652689035
97	0.4639953613
98	0.4629770333
99	0.4618685041
100	0.4605505371
101	0.4594704764
102	0.4583153425
103	0.4568304443
104	0.4556961932
105	0.4545428903
106	0.4536281041
107	0.4526159668
108	0.4516095407
109	0.4507610212
110	0.4498348563
111	0.4487999616
112	0.4478179932
113	0.4467345319
114	0.4458204433
115	0.4451705933
116	0.4441425432
117	0.4430606515
118	0.4420667376
119	0.4410285732
120	0.4401387678
121	0.4389997646
122	0.4380017962
123	0.437052002
124	0.4362627302
125	0.4355053711
126	0.4347270857
127	0.4341066197
128	0.4330763027
129	0.432059457
130	0.4312332153
131	0.4304287284
132	0.429654759
133	0.428848659
134	0.4281286621
135	0.4273117501
136	0.4263952201
137	0.4256440517
138	0.424682312
139	0.4235980225
140	0.4228671701
141	0.4222172764
142	0.4213086373
143	0.4207925851
144	0.4202695138
145	0.4196180071
146	0.4189509801
147	0.4181222098
148	0.4172218541
149	0.4163276018
150	0.4157429722
151	0.4151989746
152	0.4146826172
153	0.4139248221
154	0.4133548846
155	0.4126807513
156	0.4119983782
157	0.4113225446
158	0.4106754412
159	0.4100149972
160	0.4091663906
161	0.4087241908
162	0.4080301339
163	0.4075419399
164	0.4071583775
165	0.4064204189
166	0.4060274397
167	0.4054947335
168	0.404861363
169	0.4044034249
170	0.4040053013
171	0.4037455532
172	0.4031742641
173	0.4027087838
174	0.4018814523
175	0.4012803868
176	0.4007243129
177	0.4002464076
178	0.399780535
179	0.399274292
180	0.398417402
181	0.3979571969
182	0.3972812326
183	0.3967221505
184	0.3960785348
185	0.3956855992
186	0.3949060931
187	0.3943021938
188	0.393964713
189	0.3933567156
190	0.3928151158
191	0.3922841971
192	0.3916363089
193	0.3910984584
194	0.3906415231
195	0.390116054
196	0.3895158168
197	0.3887499564
198	0.3881851632
199	0.3876636614
200	0.3870458548
201	0.3863672747
202	0.3860593087
203	0.3856856864
204	0.3852268764
205	0.38467259
206	0.3842251151
207	0.3837699672
208	0.3832438878
209	0.382757394
210	0.382322998
211	0.381940918
212	0.3814808001
213	0.3810824149
214	0.3806547764
215	0.3802719116
216	0.3798032488
217	0.3794425746
218	0.3792254639
219	0.3788241141
220	0.378442906
221	0.3780489676
222	0.3777261789
223	0.3773253959
224	0.3767862374
225	0.3762620326
226	0.3759531512
227	0.3750402396
228	0.3746380615
229	0.374193682
230	0.3738192313
231	0.3733568028
232	0.3729876709
233	0.3724005127
234	0.3718905204
235	0.3715037319
236	0.3710068621
237	0.3705794416
238	0.3702679443
239	0.3699088832
240	0.369402553
241	0.3690206909
242	0.3685322789
243	0.3683316912
244	0.3681303188
245	0.3677655901
246	0.3672803606
247	0.3669223458
248	0.3667168753
249	0.3660460118
250	0.3657596261
251	0.3654018729
252	0.3649914551
253	0.3645145307
254	0.3640290615
255	0.3638032314
256	0.3633209882
257	0.3630746896
258	0.3627425276
259	0.3622275216
260	0.3617299107
261	0.3612442453
262	0.3607824925
263	0.3604942976
264	0.3603215899
265	0.3600209263
266	0.3596823992
267	0.3594175502
268	0.3589498029
269	0.3584835815
270	0.3580799212
271	0.3578697641
272	0.3576074001
273	0.3571709551
274	0.3567179871
275	0.356416408
276	0.3560345677
277	0.3557259696
278	0.3554137312
279	0.3550758362
280	0.3545309012
281	0.3542100307
282	0.3537706212
283	0.3534873308
284	0.3531827218
285	0.3529906791
286	0.352564937
287	0.3522175598
288	0.3519419207
289	0.3515139771
290	0.3509673636
291	0.3506939261
292	0.350473502
293	0.3501673235
294	0.3496822248
295	0.3494440569
296	0.3490656607
297	0.3488444301
298	0.3486148507
299	0.3484699794
300	0.3480686079
301	0.3477065822
302	0.3472342791
303	0.3469746835
304	0.346635873
305	0.3461917332
306	0.3457870047
307	0.3452857317
308	0.3449535915
309	0.3446113804
310	0.3443759809
311	0.3440403312
312	0.3437133353
313	0.3433982631
314	0.3430540902
315	0.3425068883
316	0.3422571019
317	0.3418207005
318	0.3414201791
319	0.3411254229
320	0.3408708191
321	0.3405720738
322	0.340423366
323	0.3401555961
324	0.3398339626
325	0.33949343
326	0.3391379656
327	0.3389280265
328	0.3386708941
329	0.3384929112
330	0.3382479422
331	0.3378846087
332	0.3376589312
333	0.3375037057
334	0.3372130476
335	0.3366983468
336	0.3362530082
337	0.3358637565
338	0.3354869298
339	0.3351553999
340	0.3349932425
341	0.3345075335
342	0.3343082755
343	0.3339421735
344	0.333641183
345	0.3333218384
346	0.333023747
347	0.3327328491
348	0.3323895264
349	0.3320203291
350	0.331668178
351	0.3313291713
352	0.3310621861
353	0.330806536
354	0.33053639
355	0.3302392796
356	0.3298982457
357	0.3297424098
358	0.3294466727
359	0.3291213553
360	0.3289387294
361	0.3285824803
362	0.3281518119
363	0.3278436061
364	0.3277747236
365	0.3275573512
366	0.3272747367
367	0.3270125035
368	0.3267700413
369	0.3264502825
370	0.3261965724
371	0.3260087803
372	0.3256367275
373	0.3253737531
374	0.3250196838
375	0.3245431955
376	0.3243033055
377	0.324133279
378	0.3238462612
379	0.3236785889
380	0.3234589713
381	0.3230671256
382	0.3227698626
383	0.3224530247
384	0.3221807861
385	0.3219457572
386	0.3216478402
387	0.3214612688
388	0.321171657
389	0.3210027204
390	0.3207397679
391	0.320538984
392	0.3203390503
393	0.3201265608
394	0.3199197388
395	0.319692034
396	0.3195167977
397	0.3193323626
398	0.3191333444
399	0.3188133458
400	0.3184718105
401	0.3182865034
402	0.318079943
403	0.317925415
404	0.3176138088
405	0.3173011126
406	0.3170093863
407	0.3165993391
408	0.316284899
409	0.3161775861
410	0.3158931623
411	0.3157020569
412	0.3155548314
413	0.315405535
414	0.3151492528
415	0.3147466169
416	0.3146022252
417	0.3142810059
418	0.3139398629
419	0.3137188067
420	0.3135219683
421	0.3133273315
422	0.3131582642
423	0.3129150827
424	0.3126881627
425	0.3123413304
426	0.3120951407
427	0.3116669573
428	0.311282741
429	0.3111334229
430	0.3107465036
431	0.3105301775
432	0.3101601955
433	0.3099927848
434	0.3098146711
435	0.3096499416
436	0.3094488961
437	0.3092294965
438	0.308928833
439	0.3086255101
440	0.3083946882
441	0.3081059483
442	0.3078458296
443	0.3076148769
444	0.3072530474
445	0.3070195661
446	0.3067762756
447	0.3064765494
448	0.3063009208
449	0.3061033848
450	0.3057600621
451	0.3056088475
452	0.3053264509
453	0.3049758475
454	0.3046783447
455	0.3045483398
456	0.3043342372
457	0.3041813224
458	0.3039450073
459	0.3037625122
460	0.3036037554
461	0.3035244533
462	0.3032993426
463	0.3031141445
464	0.3028953334
465	0.3025819833
466	0.3022463117
467	0.301983163
468	0.3014683969
469	0.3013947841
470	0.3009620667
471	0.3005914089
472	0.3003888593
473	0.300244315
474	0.299871957
475	0.2995330811
476	0.2993849182
477	0.2989130293
478	0.2987265233
479	0.2985434396
480	0.2984004429
481	0.2981104606
482	0.2976669965
483	0.2973959133
484	0.2972719901
485	0.297003915
486	0.2967910767
487	0.296608102
488	0.2964203971
489	0.2961485509
490	0.2959233747
491	0.2957357788
492	0.2956188093
493	0.2954014369
494	0.2952370562
495	0.294792851
496	0.29461489
497	0.2943780082
498	0.2941868373
499	0.2938166591
500	0.2935567801
501	0.293265686
502	0.2929871041
503	0.2928228324
504	0.2925754656
505	0.2923525565
506	0.2921859741
507	0.29202822
508	0.2917884391
509	0.2916441127
