iter	Passed	Remaining
0	139	139426
1	143	71707
2	146	48612
3	149	37165
4	151	30116
5	153	25413
6	155	22055
7	157	19537
8	159	17541
9	161	15941
10	162	14633
11	164	13547
12	166	12653
13	168	11863
14	170	11201
15	173	10682
16	175	10161
17	177	9698
18	179	9264
19	181	8889
20	183	8548
21	185	8232
22	186	7937
23	189	7702
24	191	7472
25	194	7272
26	195	7061
27	197	6863
28	199	6678
29	201	6515
30	203	6372
31	206	6234
32	208	6111
33	212	6031
34	214	5906
35	216	5788
36	218	5693
37	222	5620
38	224	5535
39	226	5436
40	228	5340
41	230	5249
42	232	5172
43	234	5102
44	238	5055
45	240	4992
46	243	4942
47	245	4874
48	247	4809
49	249	4748
50	253	4711
51	255	4656
52	258	4615
53	260	4559
54	262	4507
55	264	4460
56	268	4439
57	271	4406
58	273	4363
59	275	4314
60	277	4267
61	279	4233
62	282	4196
63	286	4185
64	289	4165
65	291	4125
66	293	4089
67	295	4053
68	297	4015
69	300	3996
70	302	3960
71	304	3925
72	306	3889
73	308	3856
74	310	3827
75	312	3799
76	315	3780
77	317	3752
78	319	3722
79	321	3692
80	323	3665
81	324	3636
82	326	3609
83	328	3584
84	331	3566
85	333	3544
86	335	3519
87	337	3495
88	339	3475
89	341	3452
90	343	3428
91	345	3411
92	348	3396
93	350	3375
94	352	3358
95	354	3338
96	356	3318
97	358	3297
98	360	3279
99	363	3272
100	366	3261
101	368	3245
102	370	3229
103	373	3217
104	375	3199
105	378	3188
106	380	3178
107	382	3163
108	385	3149
109	387	3134
110	390	3124
111	392	3111
112	395	3103
113	398	3099
114	401	3086
115	403	3072
116	406	3064
117	408	3054
118	411	3050
119	414	3041
120	416	3027
121	418	3014
122	421	3006
123	424	2996
124	427	2991
125	430	2986
126	432	2975
127	435	2969
128	438	2959
129	440	2950
130	443	2943
131	446	2936
132	448	2923
133	450	2912
134	452	2900
135	454	2888
136	457	2879
137	461	2880
138	463	2872
139	467	2869
140	469	2860
141	471	2851
142	475	2852
143	479	2849
144	481	2840
145	484	2831
146	486	2822
147	488	2813
148	492	2811
149	495	2805
150	498	2803
151	501	2795
152	504	2790
153	507	2789
154	511	2786
155	514	2781
156	516	2772
157	518	2764
158	522	2761
159	525	2760
160	528	2753
161	530	2745
162	532	2736
163	535	2727
164	538	2723
165	542	2725
166	545	2720
167	547	2712
168	550	2704
169	553	2704
170	557	2703
171	560	2700
172	563	2692
173	565	2685
174	568	2678
175	572	2682
176	577	2684
177	579	2677
178	582	2669
179	585	2665
180	589	2667
181	592	2662
182	594	2655
183	597	2648
184	600	2643
185	604	2647
186	607	2640
187	609	2632
188	611	2626
189	614	2619
190	618	2618
191	622	2617
192	624	2611
193	626	2603
194	629	2600
195	634	2600
196	637	2598
197	639	2592
198	642	2584
199	645	2580
200	648	2579
201	652	2576
202	654	2569
203	656	2562
204	658	2555
205	661	2550
206	665	2548
207	668	2544
208	670	2538
209	673	2532
210	675	2525
211	677	2520
212	681	2516
213	684	2513
214	686	2507
215	689	2501
216	692	2498
217	695	2496
218	700	2498
219	702	2492
220	705	2485
221	707	2479
222	709	2473
223	713	2470
224	716	2467
225	718	2461
226	721	2455
227	723	2450
228	726	2444
229	729	2440
230	732	2436
231	734	2431
232	737	2428
233	740	2422
234	742	2416
235	745	2413
236	748	2410
237	751	2407
238	754	2403
239	757	2397
240	759	2391
241	763	2390
242	765	2385
243	769	2385
244	772	2380
245	774	2374
246	778	2373
247	781	2368
248	783	2363
249	785	2357
250	788	2351
251	791	2349
252	794	2347
253	797	2341
254	799	2335
255	801	2329
256	803	2324
257	807	2321
258	810	2319
259	813	2314
260	815	2309
261	817	2303
262	820	2298
263	822	2294
264	826	2292
265	829	2287
266	831	2282
267	833	2276
268	835	2271
269	838	2267
270	842	2266
271	845	2262
272	847	2257
273	849	2252
274	852	2248
275	855	2243
276	858	2241
277	861	2236
278	863	2232
279	866	2227
280	869	2223
281	871	2219
282	874	2215
283	877	2211
284	880	2208
285	883	2206
286	887	2203
287	890	2201
288	892	2196
289	895	2192
290	897	2187
291	900	2182
292	903	2179
293	907	2179
294	911	2177
295	913	2173
296	916	2168
297	920	2168
298	926	2171
299	929	2167
300	931	2163
301	934	2159
302	937	2155
303	941	2154
304	943	2150
305	946	2145
